codePeril,nomPeril,dateArrete,dateParutionJO,codeNOR,codeInseePole,codeArrete
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",20-03-2023,13-04-2023,IOME2307448A,,815
,Sécheresse,21-02-2023,15-03-2023,IOME2304952A,,813
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",20-02-2023,15-03-2023,IOME2304949A,,812
,Sécheresse,17-01-2023,22-02-2023,IOME2301106A,,811
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",16-01-2023,08-02-2023,IOME2301092A,,810
,Sécheresse,20-12-2022,30-12-2022,IOME2235882A,,809
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Vents Cycloniques",19-12-2022,30-12-2022,IOME2235873A,,808
,Sécheresse,22-11-2022,08-12-2022,IOME2232738A,,807
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",21-11-2022,08-12-2022,IOME2232737A,,806
,Sécheresse,18-10-2022,29-10-2022,IOME2229185A,,804
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",17-10-2022,29-10-2022,IOME2229183A,,805
,Inondations et/ou Coulées de Boue,23-09-2022,24-09-2022,IOME2226889A,,800
,Sécheresse,20-09-2022,12-10-2022,IOME2226254A,,802
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",19-09-2022,12-10-2022,IOME2226252A,,803
,Inondations et/ou Coulées de Boue,24-08-2022,25-08-2022,IOME2224383A,,799
,Inondations et/ou Coulées de Boue,29-07-2022,25-08-2022,IOME2222390A,,798
,Sécheresse,26-07-2022,05-08-2022,IOME2221482A,,797
,"Avalanche, Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",25-07-2022,11-08-2022,IOME2221479A,,796
,"Inondations et/ou Coulées de Boue, Vents Cycloniques",12-07-2022,28-07-2022,IOME2220202A,,795
,Sécheresse,11-07-2022,26-07-2022,IOME2218165A,,801
,Inondations et/ou Coulées de Boue,09-07-2022,22-07-2022,IOME2219351A,,794
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",08-07-2022,22-07-2022,IOME2218164A,,793
,Inondations et/ou Coulées de Boue,15-06-2022,02-07-2022,INTE2217496A,,792
,Inondations et/ou Coulées de Boue,10-06-2022,12-06-2022,INTE2216453A,,788
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",30-05-2022,25-06-2022,INTE2214045A,,791
,Sécheresse,25-05-2022,25-06-2022,INTE2211972A,,790
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-05-2022,25-06-2022,INTE2211971A,,789
,Inondations et/ou Coulées de Boue,01-04-2022,06-04-2022,INTE2209895A,,787
,Sécheresse,15-03-2022,31-03-2022,INTE2207963A,,786
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",14-03-2022,30-03-2022,INTE2207961A,,785
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",09-02-2022,13-02-2022,INTE2204344A,,784
,Inondations et/ou Coulées de Boue,24-01-2022,12-02-2022,INTE2202054A,,783
,Sécheresse,18-01-2022,12-02-2022,INTE2201263A,,782
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",17-01-2022,12-02-2022,INTE2201262A,,781
,Sécheresse,21-12-2021,14-01-2022,INTE2137451A,,780
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",20-12-2021,14-01-2022,INTE2137449A,,779
,Inondations et/ou Coulées de Boue,16-12-2021,17-12-2021,INTE2137424A,,778
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",22-11-2021,14-12-2021,INTE2134038A,,777
,Inondations et/ou Coulées de Boue,15-10-2021,17-10-2021,INTE2130679A,,775
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",13-10-2021,05-11-2021,INTE2130680A,,776
,Inondations et/ou Coulées de Boue,24-09-2021,26-09-2021,INTE2128151A,,772
,Sécheresse,14-09-2021,28-09-2021,INTE2127289A,,773
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",13-09-2021,28-09-2021,INTE2127287A,,774
,Inondations et/ou Coulées de Boue,09-08-2021,25-08-2021,INTE2124447A,,770
,Sécheresse,27-07-2021,31-08-2021,INTE2122515A,,771
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Vents Cycloniques",26-07-2021,01-08-2021,INTE2122514A,,767
,Inondations et/ou Coulées de Boue,23-07-2021,01-08-2021,INTE2122730A,,768
,Inondations et/ou Coulées de Boue,12-07-2021,04-08-2021,INTE2121745A,,769
,Inondations et/ou Coulées de Boue,09-07-2021,20-07-2021,INTE2121339A,,766
,Inondations et/ou Coulées de Boue,30-06-2021,02-07-2021,INTE2119792A,,763
,Sécheresse,22-06-2021,09-07-2021,INTE2118485A,,765
,"Avalanche, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",21-06-2021,09-07-2021,INTE2118484A,,764
,Sécheresse,18-05-2021,06-06-2021,INTE2114775A,,762
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",17-05-2021,06-06-2021,INTE2114774A,,761
,Sécheresse,20-04-2021,07-05-2021,INTE2112080A,,759
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",19-04-2021,07-05-2021,INTE2112076A,,760
,Sécheresse,09-03-2021,28-03-2021,INTE2107266A,,758
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",08-03-2021,28-03-2021,INTE2107265A,,757
,Inondations et/ou Coulées de Boue,19-02-2021,24-02-2021,INTE2105706A,,755
,Sécheresse,11-02-2021,20-03-2021,INTE2104716A,,756
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",10-02-2021,13-02-2021,INTE2104714A,,754
,Sécheresse,19-01-2021,03-02-2021,INTE2101171A,,752
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",18-01-2021,03-02-2021,INTE2101163A,,753
,Sécheresse,15-12-2020,23-12-2020,INTE2034505A,,751
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",14-12-2020,22-12-2020,INTE2034504A,,750
,Sécheresse,24-11-2020,03-12-2020,INTE2031567A,,748
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",23-11-2020,03-12-2020,INTE2031566A,,749
,Sécheresse,20-10-2020,17-11-2020,INTE2027601A,,747
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",19-10-2020,14-11-2020,INTE2027600A,,746
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue",07-10-2020,08-10-2020,INTE2026671A,,743
,Inondations et/ou Coulées de Boue,23-09-2020,24-09-2020,INTE2024953A,,742
,Sécheresse,15-09-2020,25-10-2020,INTE2023940A,,744
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",14-09-2020,24-10-2020,INTE2023938A,,745
,Sécheresse,28-07-2020,03-09-2020,INTE2019261A,,740
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",27-07-2020,03-09-2020,INTE2019260A,,741
,Sécheresse,07-07-2020,29-07-2020,INTE2016905A,,738
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",06-07-2020,29-07-2020,INTE2016904A,,739
,Sécheresse,17-06-2020,10-07-2020,INTE2014522A,,735
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",16-06-2020,10-07-2020,INTE2014521A,,734
,Sécheresse,29-04-2020,12-06-2020,INTE2010312A,,732
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",28-04-2020,12-06-2020,INTE2010310A,,733
,Sécheresse,03-03-2020,13-03-2020,INTE2005872A,,731
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",02-03-2020,13-03-2020,INTE2005870A,,730
,Sécheresse,28-01-2020,13-02-2020,INTE2002330A,,729
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",27-01-2020,13-02-2020,INTE2002329A,,728
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",13-01-2020,29-01-2020,INTE2000953A,,727
,Inondations et/ou Coulées de Boue,08-01-2020,17-01-2020,INTE2000203A,,726
,Sécheresse,13-12-2019,19-12-2019,INTE1935645A,,725
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",12-12-2019,19-12-2019,INTE1935602A,,724
,Inondations et/ou Coulées de Boue,28-11-2019,30-11-2019,INTE1934128A,,721
,Secousse Sismique,21-11-2019,23-11-2019,INTE1933339A,,720
,Sécheresse,19-11-2019,30-11-2019,INTE1932509A,,723
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",18-11-2019,30-11-2019,INTE1932508A,,722
,Inondations et/ou Coulées de Boue,30-10-2019,31-10-2019,INTE1931207A,,717
,Sécheresse,15-10-2019,15-11-2019,INTE1928914A,,718
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",14-10-2019,16-11-2019,INTE1928835A,,719
,Sécheresse,17-09-2019,26-10-2019,INTE1926068A,,716
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",16-09-2019,23-10-2019,INTE1926063A,,715
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Vents Cycloniques",05-08-2019,04-09-2019,INTE1922702A,,714
,Sécheresse,16-07-2019,09-08-2019,INTE1920338A,,713
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",15-07-2019,09-08-2019,INTE1920320A,,712
,Inondations et/ou Coulées de Boue,21-06-2019,22-06-2019,INTE1917689A,,709
,Sécheresse,18-06-2019,17-07-2019,INTE1917051A,,710
,"Avalanche, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Vents Cycloniques",17-06-2019,17-07-2019,INTE1917050A,,711
,Sécheresse,21-05-2019,22-06-2019,INTE1914147A,,708
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain",20-05-2019,22-06-2019,INTE1914145A,,707
,Sécheresse,16-04-2019,04-05-2019,INTE1910695A,,706
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",15-04-2019,04-05-2019,INTE1910693A,,705
,Sécheresse,20-03-2019,07-04-2019,INTE1907679A,,704
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Vents Cycloniques",19-03-2019,07-04-2019,INTE1907677A,,703
,Sécheresse,27-02-2019,23-03-2019,INTE1905474A,,702
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",26-02-2019,22-03-2019,INTE1905473A,,701
,Sécheresse,24-01-2019,14-02-2019,INTE1901606A,,700
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",23-01-2019,14-02-2019,INTE1901604A,,699
,Sécheresse,26-12-2018,30-01-2019,INTE1835009A,,698
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-12-2018,30-01-2019,INTE1835008A,,697
,Sécheresse,27-11-2018,07-12-2018,INTE1831447A,,696
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",26-11-2018,07-12-2018,INTE1831446A,,695
,Inondations et/ou Coulées de Boue,29-10-2018,08-11-2018,INTE1829420A,,694
,Sécheresse,23-10-2018,03-11-2018,INTE1828406A,,693
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",22-10-2018,03-11-2018,INTE1828404A,,692
,Inondations et/ou Coulées de Boue,17-10-2018,18-10-2018,INTE1828277A,,688
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe",04-10-2018,03-11-2018,INTE1826529A,,691
,Sécheresse,18-09-2018,20-10-2018,INTE1824834A,,690
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",17-09-2018,20-10-2018,INTE1824833A,,689
,Sécheresse,24-07-2018,12-08-2018,INTE1820388A,,686
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",23-07-2018,15-08-2018,INTE1820387A,,687
,Sécheresse,10-07-2018,27-07-2018,INTE1818803A,,685
,Inondations et/ou Coulées de Boue,09-07-2018,27-07-2018,INTE1818802A,,684
,Sécheresse,27-06-2018,05-07-2018,INTE1817090A,,683
,"Avalanche, Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",26-06-2018,05-07-2018,INTE1817087A,,682
,Sécheresse,24-05-2018,22-06-2018,INTE1913671A,,681
,"Avalanche, Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",23-05-2018,22-06-2018,INTE1813670A,,680
,Sécheresse,18-04-2018,30-05-2018,INTE1810999A,,679
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain",17-04-2018,30-05-2018,INTE1810998A,,678
,Sécheresse,27-03-2018,02-05-2018,INTE1808307A,,677
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",26-03-2018,02-05-2018,INTE1808306A,,676
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",09-03-2018,10-03-2018,INTE1802922A,,671
,Sécheresse,09-03-2018,10-03-2018,INTE1802927A,,672
,"Avalanche, Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain",09-03-2018,10-03-2018,INTE1806551A,,673
,Sécheresse,22-02-2018,24-03-2018,INTE1805268A,,675
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",21-02-2018,24-03-2018,INTE1805267A,,674
,Inondations et/ou Coulées de Boue,14-02-2018,15-02-2018,INTE1804348A,,669
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",31-01-2018,01-02-2018,INTE1802929A,,667
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",31-01-2018,01-02-2018,INTE1734728A,,668
,Sécheresse,27-12-2017,16-02-2018,INTE1725579A,,670
,Vents Cycloniques,28-11-2017,29-11-2017,INTE1730632A,,664
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",21-11-2017,15-12-2017,INTE1731318A,,665
,Sécheresse,21-11-2017,15-12-2017,INTE1731322A,,666
,Sécheresse,24-10-2017,01-11-2017,INTE1727359A,,662
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",24-10-2017,07-11-2017,INTE1727357A,,663
,Sécheresse,27-09-2017,20-10-2017,INTE1726133A,,660
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",26-09-2017,27-10-2017,INTE1726132A,,661
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",22-09-2017,24-09-2017,INTE1726504A,,659
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",08-09-2017,09-09-2017,INTE1725480A,,658
