codePeril,nomPeril,dateArrete,dateParutionJO,codeNOR,codeInseePole,codeArrete
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Sécheresse, Vents Cycloniques",19-01-2026,24-01-2026,INTE2601369A,,904
,Sécheresse,12-12-2025,13-12-2025,INTE2534330A,,903
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain",11-12-2025,12-12-2025,INTE2534309A,,902
,Sécheresse,25-11-2025,02-12-2025,INTE2532309A,,901
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-11-2025,02-12-2025,INTE2532307A,,900
,Sécheresse,16-10-2025,24-10-2025,INTE2527885A,,899
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",15-10-2025,24-10-2025,INTE2527884A,,898
,Inondations et/ou Coulées de Boue,25-09-2025,27-09-2025,INTE2526475A,,897
,Sécheresse,16-09-2025,26-09-2025,INTE2525631A,,896
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",15-09-2025,26-09-2025,INTE2525618A,,895
,Sécheresse,10-07-2025,12-07-2025,INTE2519693A,,893
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",09-07-2025,17-07-2025,INTE2519692A,,894
,Sécheresse,24-06-2025,28-06-2025,INTE2517857A,,892
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",23-06-2025,27-06-2025,INTE2517855A,,891
,Inondations et/ou Coulées de Boue,28-05-2025,29-05-2025,INTE2515511A,,890
,Sécheresse,20-05-2025,24-05-2025,INTE2514342A,,888
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain",19-05-2025,24-05-2025,INTE2514336A,,889
,Sécheresse,23-04-2025,26-04-2025,INTE2511308A,,887
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",22-04-2025,29-04-2025,INTE2511307A,,886
,Sécheresse,25-03-2025,03-04-2025,INTE2508632A,,884
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-03-2025,03-04-2025,INTE2508631A,,885
,Vents Cycloniques,21-03-2025,01-04-2025,INTE2508630A,,883
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",07-03-2025,12-03-2025,INTE2506758A,,882
,Sécheresse,25-02-2025,26-02-2025,INTE2505372A,,880
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",24-02-2025,01-03-2025,INTE2505371A,,881
,Inondations et/ou Coulées de Boue,13-02-2025,19-02-2025,INTE2504355A,,878
,Inondations et/ou Coulées de Boue,06-02-2025,09-02-2025,INTE2503788A,,877
,Sécheresse,21-01-2025,25-02-2025,INTE2501376A,,879
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",20-01-2025,06-02-2025,INTE2501371A,,876
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",19-12-2024,19-12-2024,INTE2434565A,,872
,Sécheresse,17-12-2024,21-12-2024,INTE2433750A,,874
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",16-12-2024,21-12-2024,INTE2433751A,,873
,Sécheresse,19-11-2024,03-12-2024,INTE2430295A,,871
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",18-11-2024,03-12-2024,INTE2430293A,,870
,Inondations et/ou Coulées de Boue,31-10-2024,05-11-2024,INTE2428510A,,868
,Inondations et/ou Coulées de Boue,23-10-2024,26-10-2024,INTE2428153A,,866
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",14-10-2024,01-11-2024,INTE2427051A,,867
,Secousse Sismique,25-09-2024,06-11-2024,INTE2424585A,,869
,Sécheresse,24-09-2024,19-10-2024,INTE2424583A,,865
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",23-09-2024,28-09-2024,INTE2424582A,,864
,"Inondations et/ou Coulées de Boue, Vents Cycloniques",01-08-2024,22-08-2024,IOME2421328A,,863
,Sécheresse,23-07-2024,03-08-2024,IOME2420217A,,862
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",22-07-2024,03-08-2024,IOME2420215A,,861
,Inondations et/ou Coulées de Boue,04-07-2024,07-07-2024,IOME2418595A,,860
,Sécheresse,18-06-2024,02-07-2024,IOME2415881A,,859
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Vents Cycloniques",17-06-2024,28-06-2024,IOME2415880A,,858
,Inondations et/ou Coulées de Boue,05-06-2024,14-06-2024,IOME2415152A,,857
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",21-05-2024,09-06-2024,IOME2413412A,,856
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe",29-04-2024,01-06-2024,IOME2411920A,,855
,Sécheresse,16-04-2024,27-04-2024,IOME2410383A,,854
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",15-04-2024,27-04-2024,IOME2410378A,,853
,Inondations et/ou Coulées de Boue,10-04-2024,16-04-2024,IOME2410127A,,852
,Sécheresse,19-03-2024,07-04-2024,IOME2407755A,,849
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",18-03-2024,07-04-2024,IOME2407754A,,850
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe",07-03-2024,10-03-2024,IOME2407004A,,848
,Sécheresse,13-02-2024,24-02-2024,IOME2403659A,,847
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",12-02-2024,23-02-2024,IOME2403657A,,846
,Secousse Sismique,31-01-2024,09-02-2024,IOME2334295A,,845
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",30-01-2024,09-02-2024,IOME2402725A,,844
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue",19-01-2024,23-01-2024,IOME2401804A,,840
,Sécheresse,19-01-2024,30-01-2024,IOME2400970A,,843
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",18-01-2024,30-01-2024,IOME2400969A,,842
,Inondations et/ou Coulées de Boue,16-01-2024,24-01-2024,IOME2400974A,,841
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Vents Cycloniques",22-12-2023,06-01-2024,IOME2335302A,,839
,Sécheresse,19-12-2023,27-12-2023,IOME2334289A,,837
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",18-12-2023,28-12-2023,IOME2333648A,,838
,Inondations et/ou Coulées de Boue,30-11-2023,12-12-2023,IOME2332866A,,836
,Sécheresse,21-11-2023,10-12-2023,IOME2330891A,,834
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Vents Cycloniques",20-11-2023,10-12-2023,IOME2330890A,,835
,Inondations et/ou Coulées de Boue,14-11-2023,15-11-2023,IOME2330533A,,833
,Inondations et/ou Coulées de Boue,27-10-2023,03-11-2023,IOME2328840A,,832
,Sécheresse,17-10-2023,01-11-2023,IOME2327461A,,830
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",16-10-2023,01-11-2023,IOME2327460A,,831
,Inondations et/ou Coulées de Boue,25-09-2023,04-10-2023,IOME2325523A,,827
,Sécheresse,19-09-2023,20-10-2023,IOME2324730A,,829
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",18-09-2023,20-10-2023,IOME2324728A,,828
,Sécheresse,25-07-2023,04-10-2023,IOME2320254A,,826
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-07-2023,28-07-2023,IOME2320253A,,822
,Sécheresse,23-07-2023,26-09-2023,IOME2318045A,,825
,Sécheresse,22-07-2023,14-09-2023,IOME2316198A,,824
,Sécheresse,21-07-2023,08-09-2023,IOME2313528A,,823
,"Inondations et/ou Coulées de Boue, Mouvement de Terrain, Secousse Sismique",30-06-2023,07-07-2023,IOME2318044A,,821
,"Chocs Mécaniques liés à l'action des Vagues, Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique",19-06-2023,07-07-2023,IOME2316196A,,820
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",22-05-2023,06-07-2023,IOME2313527A,,819
,Sécheresse,25-04-2023,10-06-2023,IOME2311008A,,818
,"Inondations et/ou Coulées de Boue, Inondations Remontée Nappe, Mouvement de Terrain, Secousse Sismique, Vents Cycloniques",24-04-2023,10-06-2023,IOME2311006A,,817
,Sécheresse,03-04-2023,03-05-2023,IOME2308745A,,816
,Sécheresse,21-03-2023,13-04-2023,IOME2307449A,,814
