id_collectivite,problem
0,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
4,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
6,Divergence significative sur les montants d’indemnisation
9,Appel d’offre lancé sans aucune réponse d’assureurs
11,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
13,Montants indeminisation inférieurs à ceux prévus par le contrat
14,Refus indeminsation de dégâts considérés comme couverts
15,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
17,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
21,Mauvaise qualité de la relation avec l’assureur
22,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
23,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
26,Mauvaise qualité de la relation avec l’assureur
28,Attente indemnisation supérieure à 2 ans toujours en cours
29,Mauvaise qualité de la relation avec l’assureur
30,Mauvaise qualité de la relation avec l’assureur
31,Mauvaise qualité de la relation avec l’assureur
33,Montants indeminisation inférieurs à ceux prévus par le contrat
35,Mauvaise qualité de la relation avec l’assureur
36,Divergence significative sur les montants d’indemnisation
37,Mauvaise qualité de la relation avec l’assureur
39,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
42,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
43,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
44,Divergence significative sur les montants d’indemnisation
45,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
46,Appel d’offre lancé sans aucune réponse d’assureurs
47,Montants indeminisation inférieurs à ceux prévus par le contrat
48,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
54,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
58,Mauvaise qualité de la relation avec l’assureur
60,Refus indeminsation de dégâts considérés comme couverts
63,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
64,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
68,Mauvaise qualité de la relation avec l’assureur
71,Mauvaise qualité de la relation avec l’assureur
73,Mauvaise qualité de la relation avec l’assureur
75,Mauvaise qualité de la relation avec l’assureur
76,Divergence significative sur les montants d’indemnisation
77,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
78,Mauvaise qualité de la relation avec l’assureur
79,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
