id_collectivite,problem
84,Refus indeminsation de dégâts considérés comme couverts
86,Mauvaise qualité de la relation avec l’assureur
89,Montants indeminisation inférieurs à ceux prévus par le contrat
90,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
91,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
93,Divergence significative sur les montants d’indemnisation
95,Appel d’offre lancé sans aucune réponse d’assureurs
96,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
97,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
99,Mauvaise qualité de la relation avec l’assureur
100,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
101,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
102,Mauvaise qualité de la relation avec l’assureur
103,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
109,Hausse du coût du contrat > 100% depuis le 1er janvier 2023
111,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
112,Appel d’offre lancé sans aucune réponse d’assureurs
113,Mauvaise qualité de la relation avec l’assureur
114,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
115,Mauvaise qualité de la relation avec l’assureur
116,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
117,Mauvaise qualité de la relation avec l’assureur
119,Mauvaise qualité de la relation avec l’assureur
120,Mauvaise qualité de la relation avec l’assureur
121,Mauvaise qualité de la relation avec l’assureur
122,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
123,Attente indemnisation supérieure à 2 ans toujours en cours
124,Divergence significative sur les montants d’indemnisation
125,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
126,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
127,Mauvaise qualité de la relation avec l’assureur
129,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
130,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
131,Mauvaise qualité de la relation avec l’assureur
133,Appel d’offre lancé sans aucune réponse d’assureurs
135,Refus indeminsation de dégâts considérés comme couverts
136,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
137,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
138,Mauvaise qualité de la relation avec l’assureur
139,Divergence significative sur les montants d’indemnisation
140,Mauvaise qualité de la relation avec l’assureur
141,Mauvaise qualité de la relation avec l’assureur
145,Refus indeminsation de dégâts considérés comme couverts
146,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
147,Mauvaise qualité de la relation avec l’assureur
149,Hausse des franchises > 100% depuis le 1er janvier 2023
150,Mauvaise qualité de la relation avec l’assureur
151,Mauvaise qualité de la relation avec l’assureur
152,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
153,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
155,Divergence significative sur les montants d’indemnisation
156,Appel d’offre lancé sans aucune réponse d’assureurs
157,Appel d’offre lancé sans aucune réponse d’assureurs
159,Mauvaise qualité de la relation avec l’assureur
161,Refus indeminsation de dégâts considérés comme couverts
163,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
164,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
166,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
167,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
170,Mauvaise qualité de la relation avec l’assureur
172,Mauvaise qualité de la relation avec l’assureur
173,Refus indeminsation de dégâts considérés comme couverts
174,Mauvaise qualité de la relation avec l’assureur
175,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
176,Mauvaise qualité de la relation avec l’assureur
178,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
179,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
180,Mauvaise qualité de la relation avec l’assureur
181,Appel d’offre lancé sans aucune réponse d’assureurs
183,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
184,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
185,Montants indeminisation inférieurs à ceux prévus par le contrat
187,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
188,Refus indeminsation de dégâts considérés comme couverts
191,Mauvaise qualité de la relation avec l’assureur
193,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
194,Appel d’offre lancé sans aucune réponse d’assureurs
197,Refus indeminsation de dégâts considérés comme couverts
199,Refus indeminsation de dégâts considérés comme couverts
200,Appel d’offre lancé sans aucune réponse d’assureurs
202,Appel d’offre lancé sans aucune réponse d’assureurs
203,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
204,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
205,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
206,Appel d’offre lancé sans aucune réponse d’assureurs
207,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
208,Mauvaise qualité de la relation avec l’assureur
210,Refus indeminsation de dégâts considérés comme couverts
212,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
213,Mauvaise qualité de la relation avec l’assureur
214,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
216,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
217,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
218,Refus indeminsation de dégâts considérés comme couverts
219,Attente indemnisation supérieure à 2 ans toujours en cours
220,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
221,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
222,Mauvaise qualité de la relation avec l’assureur
223,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
225,Mauvaise qualité de la relation avec l’assureur
227,Appel d’offre lancé sans aucune réponse d’assureurs
229,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
232,Appel d’offre lancé sans aucune réponse d’assureurs
233,Appel d’offre lancé sans aucune réponse d’assureurs
235,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
236,Mauvaise qualité de la relation avec l’assureur
237,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
238,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
243,Refus indeminsation de dégâts considérés comme couverts
245,Hausse du coût du contrat > 100% depuis le 1er janvier 2023
246,Mauvaise qualité de la relation avec l’assureur
248,Mauvaise qualité de la relation avec l’assureur
249,Mauvaise qualité de la relation avec l’assureur
251,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
252,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
255,Mauvaise qualité de la relation avec l’assureur
256,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
258,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
264,Mauvaise qualité de la relation avec l’assureur
265,Appel d’offre lancé sans aucune réponse d’assureurs
273,Mauvaise qualité de la relation avec l’assureur
274,Appel d’offre lancé sans aucune réponse d’assureurs
279,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
283,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
284,Hausse des franchises > 100% depuis le 1er janvier 2023
290,Mauvaise qualité de la relation avec l’assureur
291,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
292,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
293,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
294,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
295,Divergence significative sur les montants d’indemnisation
300,Mauvaise qualité de la relation avec l’assureur
301,Mauvaise qualité de la relation avec l’assureur
304,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
305,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
306,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
308,Montants indeminisation inférieurs à ceux prévus par le contrat
309,Divergence significative sur les montants d’indemnisation
310,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
311,Attente indemnisation supérieure à 2 ans toujours en cours
312,Refus indeminsation de dégâts considérés comme couverts
313,Appel d’offre lancé sans aucune réponse d’assureurs
317,Appel d’offre lancé sans aucune réponse d’assureurs
321,Mauvaise qualité de la relation avec l’assureur
322,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
323,Mauvaise qualité de la relation avec l’assureur
324,Mauvaise qualité de la relation avec l’assureur
326,Mauvaise qualité de la relation avec l’assureur
327,Mauvaise qualité de la relation avec l’assureur
328,Hausse des franchises > 100% depuis le 1er janvier 2023
329,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
330,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
331,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
332,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
333,Refus indeminsation de dégâts considérés comme couverts
334,Mauvaise qualité de la relation avec l’assureur
335,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
336,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
337,Mauvaise qualité de la relation avec l’assureur
338,Hausse du coût du contrat > 100% depuis le 1er janvier 2023
340,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
341,Mauvaise qualité de la relation avec l’assureur
343,Mauvaise qualité de la relation avec l’assureur
344,Mauvaise qualité de la relation avec l’assureur
349,Mauvaise qualité de la relation avec l’assureur
352,Mauvaise qualité de la relation avec l’assureur
354,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
356,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
357,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
359,Refus indeminsation de dégâts considérés comme couverts
360,Hausse des franchises > 100% depuis le 1er janvier 2023
362,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
363,Refus indeminsation de dégâts considérés comme couverts
365,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
366,Refus indeminsation de dégâts considérés comme couverts
367,Refus indeminsation de dégâts considérés comme couverts
369,Mauvaise qualité de la relation avec l’assureur
372,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
374,Refus indeminsation de dégâts considérés comme couverts
376,Refus indeminsation de dégâts considérés comme couverts
378,Appel d’offre lancé sans aucune réponse d’assureurs
379,Refus indeminsation de dégâts considérés comme couverts
382,Mauvaise qualité de la relation avec l’assureur
383,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
384,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
385,Mauvaise qualité de la relation avec l’assureur
387,Montants indeminisation inférieurs à ceux prévus par le contrat
389,Mauvaise qualité de la relation avec l’assureur
391,Mauvaise qualité de la relation avec l’assureur
393,Appel d’offre lancé sans aucune réponse d’assureurs
394,Refus indeminsation de dégâts considérés comme couverts
396,Mauvaise qualité de la relation avec l’assureur
397,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
398,Mauvaise qualité de la relation avec l’assureur
401,Hausse du coût du contrat > 100% depuis le 1er janvier 2023
402,Appel d’offre lancé sans aucune réponse d’assureurs
403,Mauvaise qualité de la relation avec l’assureur
404,Appel d’offre lancé sans aucune réponse d’assureurs
406,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
407,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
409,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
413,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
417,Mauvaise qualité de la relation avec l’assureur
419,Divergence significative sur les montants d’indemnisation
420,Mauvaise qualité de la relation avec l’assureur
422,Appel d’offre lancé sans aucune réponse d’assureurs
423,Refus indeminsation de dégâts considérés comme couverts
425,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
426,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
427,Mauvaise qualité de la relation avec l’assureur
428,Divergence significative sur les montants d’indemnisation
429,Mauvaise qualité de la relation avec l’assureur
431,Refus indeminsation de dégâts considérés comme couverts
432,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
439,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
440,Mauvaise qualité de la relation avec l’assureur
441,Divergence significative sur les montants d’indemnisation
442,Mauvaise qualité de la relation avec l’assureur
443,Appel d’offre lancé sans aucune réponse d’assureurs
444,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
445,Mauvaise qualité de la relation avec l’assureur
446,Appel d’offre lancé sans aucune réponse d’assureurs
447,Appel d’offre lancé sans aucune réponse d’assureurs
449,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
450,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
452,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
454,Mauvaise qualité de la relation avec l’assureur
455,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
456,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
457,Divergence significative sur les montants d’indemnisation
458,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
459,Mauvaise qualité de la relation avec l’assureur
462,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
463,Mauvaise qualité de la relation avec l’assureur
464,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
465,Mauvaise qualité de la relation avec l’assureur
466,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
467,Mauvaise qualité de la relation avec l’assureur
468,Mauvaise qualité de la relation avec l’assureur
469,Mauvaise qualité de la relation avec l’assureur
470,Divergence significative sur les montants d’indemnisation
471,Montants indeminisation inférieurs à ceux prévus par le contrat
472,Mauvaise qualité de la relation avec l’assureur
473,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
476,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
480,Mauvaise qualité de la relation avec l’assureur
481,Mauvaise qualité de la relation avec l’assureur
483,Divergence significative sur les montants d’indemnisation
484,Refus indeminsation de dégâts considérés comme couverts
485,Appel d’offre lancé sans aucune réponse d’assureurs
487,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
488,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
491,Mauvaise qualité de la relation avec l’assureur
492,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
493,Mauvaise qualité de la relation avec l’assureur
496,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
498,Refus indeminsation de dégâts considérés comme couverts
503,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
504,Appel d’offre lancé sans aucune réponse d’assureurs
506,Collectivité s’est retrouvée dans l’impossibilité de s’assurer depuis le 1er janvier 2023
507,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
509,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
512,Divergence significative sur les montants d’indemnisation
513,Montants indeminisation inférieurs à ceux prévus par le contrat
517,Mauvaise qualité de la relation avec l’assureur
518,Refus indeminsation de dégâts considérés comme couverts
519,Mauvaise qualité de la relation avec l’assureur
520,Refus indeminsation de dégâts considérés comme couverts
521,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
522,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
523,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
524,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
525,Mauvaise qualité de la relation avec l’assureur
527,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
528,Mauvaise qualité de la relation avec l’assureur
529,Appel d’offre lancé sans aucune réponse d’assureurs
530,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
531,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
532,Mauvaise qualité de la relation avec l’assureur
534,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
535,Divergence significative sur les montants d’indemnisation
538,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
539,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
540,Mauvaise qualité de la relation avec l’assureur
542,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
543,Mauvaise qualité de la relation avec l’assureur
545,Hausse des franchises > 100% depuis le 1er janvier 2023
546,Mauvaise qualité de la relation avec l’assureur
548,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
551,Mauvaise qualité de la relation avec l’assureur
552,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
554,Refus indeminsation de dégâts considérés comme couverts
556,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
557,Mauvaise qualité de la relation avec l’assureur
558,Mauvaise qualité de la relation avec l’assureur
565,Refus indeminsation de dégâts considérés comme couverts
567,Mauvaise qualité de la relation avec l’assureur
568,Appel d’offre lancé sans aucune réponse d’assureurs
569,Appel d’offre lancé sans aucune réponse d’assureurs
571,Mauvaise qualité de la relation avec l’assureur
572,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
573,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
574,Divergence significative sur les montants d’indemnisation
575,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
576,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
578,Mauvaise qualité de la relation avec l’assureur
579,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
580,Mauvaise qualité de la relation avec l’assureur
581,Hausse des franchises > 100% depuis le 1er janvier 2023
582,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
583,Mauvaise qualité de la relation avec l’assureur
584,Mauvaise qualité de la relation avec l’assureur
585,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
588,Forte dégradation de la relation avec l’asssureur au cours des 10 dernières années
589,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
590,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
591,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
592,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
593,Résiliation du contrat à l’initiative de l’assureur depuis le 1er janvier 2023
594,Refus indeminsation de dégâts considérés comme couverts
595,Appel d’offre lancé sans aucune réponse d’assureurs
596,"Autres difficultés (réponses partielles, tarifs exorbitants...)"
