id_collectivity,solution,relation_score
0,,
1,,8.0
2,,10.0
3,,9.0
4,,8.0
5,,8.0
6,Assurance d’état pour les collectivités et leurs regroupements,10.0
7,délai d’expertise trop important suite aux dommages,6.0
8,,8.0
9,"Les collectivités locales sont confrontées au risque important de ne pas pouvoir assurer leur
mission de service public si un sinistre important n’était pas couvert en raison d’une absence
de souscription à une police d’assurance. En conséquence, nous souhaiterions que l’Etat
se saisisse du problème et qu’il instaure un “droit à l’assurance” notamment pour des sites
industriels tels que ceux propriété de notre syndicat, qui agit en particulier sur la thématique
du traitement des déchets. Ce “droit à l’assurance” serait à l’image du « droit au compte
bancaire » géré par la Banque de France. L’Etat est appelé à jouer son rôle de régulateur
dans ce domaine.",
10,"Création d’une compagnie d’assurances dédiées aux collectivités territoriales avec le concours
financier de l’Etat.",1.0
11,Empêcher la résiliation unilatérale sauf rapport sinistres/prime très défavorable.,8.0
12,,8.0
13,,7.0
14,"Il conviendrait d imaginer un assureur public Une sorte d auto assurance mis en place par l
état",5.0
15,ne pas considérer que les collectivités peuvent payer quel que soit le prix,6.0
16,,8.0
17,,
18,,9.0
19,,9.0
20,,7.0
21,"Plus de formation et de sensibilisation des élus. Arriver à créer de la concurrence entre les
assurances Etablir un prix à la commune la plus vertueuse, préventive etc pour montrer
que les communes ne sont pas que des sinistres mais qu’elles savent prendre les devants et
anticiper les risques.",3.0
22,,
23,,5.0
24,,5.0
25,"un groupement de commandes à l’échelle départementale pour permettre des coûts réduits
pour des garanties identiques à celles actuelles",8.0
26,Assurance crée par l’état,3.0
27,,8.0
28,,
29,,2.0
30,obliger les compagnies à assurer les communes ou créer une assurance garantie par l’Etat,4.0
31,,1.0
32,,8.0
33,"Considérant les réelles difficultés récemment rencontrées pour contractualiser avec un as-
sureur (expérience faite en 2023 pour des marchés d’assurances nécessaires au terme des
marchés en cours, pour des communes dont les marchés sont gérés par notre collectivité, et
notre propre communauté de communes) qui a dû contractualiser hors marché car aucune
offre n’a été déposée (pour les risques : dommages aux biens, protection juridique préci-
sion étant faite que pour la flotte véhicule, la cotisation a été multipliée par 3 et pourtant,
sans sinistralité ! La solution pourrait être trouvée dans la ‘nationalisation’ d’une structure
d’assurancesouunecréationd’unassureurspécifiquepublicquis’adresseraitauxcollectivités
uniquement",5.0
34,"Repenser le système et encadrer les conditions des contrats d’assurance des collectivités
(interdireleshaussestarifairesfulgurantes,encadrerlestarifsdescotisationsetdesfranchises,
etc...)",6.0
35,,3.0
36,Je ne sais pas,6.0
37,Les assureurs devraient avoir l’obligation d’assurer les collectivités.,2.0
38,"La solution la plus efficace serait de faire un fonds national d’assurance avec l’ensemble des
collectivités.",
39,"Le Syndicat ne trouve pas de responsabilité civile (contact de 32 compagnies d’assurance
en France et à l’étranger). Rendre obligatoire la fourniture d’une RC à toute collectivité, à
minima par le Bureau central de tarification
10",9.0
40,,10.0
41,Mise en place de télésurveillance,7.0
42,Une assurance ou un fond géré par l’état,5.0
43,"Quandunepersonneestidentifiéelorsd’unedégradationparexemple, quecesoitelle(ouson
assurance) qui fasse toutes les démarches administratives. En effet, dans notre cas, c’est la
mairie qui a du tout gérer (trouver une entreprise pour changer la fenêtre (il a fallu plusieurs
mois pour avoir un devis car il est très difficile de trouver un prestataire), faire déclaration
à l’assurance, payer, envoyer la facture à l’assurance,...).
11",8.0
44,,5.0
45,Etre assuré uniquement pour les sinistres très importants,
46,"- Faire de l’Etat l’assureur des collectivités - Obligation pour les assureurs de proposer des
contrats d’assurances aux collectivités même si ce contrat est un contrat “minimum” - ne
pas être soumis au Code de la Commande publique pour ce type de prestations - Création
d’une assurance mutualisée entre et pour les collectivités - Différenciation par les assureurs
des collectivités par compétences exercées (une mairie n’a pas les mêmes risques qu’un
syndicat de collecte et traitement de déchets soumis à la réglementation ICPE) - Prise
en compte du réel niveau de maîtrise des risques selon les collectivités (visites sur sites,
constatation du respect de la réglementation ICPE ...) - En cas d’absence de réponse aux
marchés, désignation d’un assureur par l’Etat",8.0
47,Stopper le lobbying des assureurs.,8.0
48,,5.0
49,,5.0
50,,8.0
51,,9.0
52,,7.0
53,"Empêcher les assureurs de résilier des contrats suite à dommages pour lesquels la commune
ne peut rien faire (évênement climatique exceptionnel par exemple",10.0
54,"il pourrait y avoir un groupement de commande comme avec le syndicat d’électrification des
prix maintenus pendant la durée du contrat.
même trouver un assureur pour les dommages ouvrages... lors des marchés publics restent
difficile",7.0
55,,10.0
56,,9.0
57,,
58,,3.0
59,,10.0
60,"Dans le cadre d’un projet de mobilité douce nous avions prévu un véhicule sans permis à
disposition de la population (social)!. A ce jour, nous sommes en grosse car aucune assurance
veut nous couvrir dans le cadre d’une location.
16",6.0
61,Laissons faire mes assureurs,10.0
62,,9.0
63,création d’une assurance collective des communes,8.0
64,,5.0
65,,7.0
66,,9.0
67,Proposer un PFRA pour les collectivités locales,9.0
68,Créer une assurance spécifique aux collectivités,3.0
69,,9.0
70,"avoir une meilleure transparence sur les véritables biens assurés. Des contrats beaucoup plus
lisibles et explicites sans jargon pour non initiés",7.0
71,"Que les assureurs s’engagent dans un véritable partenariat de confiance avec la collectivité,
avec un bilan préalable des risques et des besoins, des couvertures négociées et adaptées en
fonction de la collectivité, une prise en charge facilitée en cas de sinistre, etc.",2.0
72,,8.0
73,,1.0
74,,9.0
75,,1.0
76,Mutualisation sur le modèle des risques agricoles,9.0
77,"Si nosassureurs ne veulent plusdu tout couvrirles risques gammapiens alors ilfaudrait peut-
être envisager de créer un collectif regroupant les collectivités pour créer un fond d’assurance
mutualisé sous la forme d’une coopérative !!! ou autre forme!!!. Car au niveau des assureurs
soit la Franchise est exorbitante ou soit la prime est très très élevée ou bien les deux à la
fois!!!.",8.0
78,,3.0
79,"que l’Etat soit son propre assureur qu’il y est une démarche collective, au moins au niveau
d’un département, voir d’une région pour mettre en concurrence les assureurs",8.0
80,"Prévoir un document avec les risques, les probabilités et l’importance des risques. Puis
personnaliser le tarif selon ce document.",7.0
81,,9.0
82,,10.0
83,Avoir une action forte contre les fauteurs de troubles,8.0
84,,8.0
85,"Un fond national pour les indemnisations
24",7.0
86,,2.0
87,,10.0
88,,10.0
89,,7.0
90,,6.0
91,"Tenir compte de la taille/population des communes et de leur budget (petites communes
lésées)
27",8.0
92,"Rendre obligatoire la réponse aux demandes des collectivités, un AO ne peut rester sans
candidat Rester très vigilants sur l’entente des compagnies en cas de réponse
28",5.0
93,,8.0
94,je n’ai pas vraiment d’idée,9.0
95,,7.0
96,,5.0
97,"S’agissant de l’assurance dommages aux biens :
29
1° Risque interne : connaissance accrue du patrimoine et moyens de protection/sécurité +
entretien
2° Risque externe/exogène : plan de lutte contre la délinquance",8.0
98,"Inscrire dans la loi l’obligation d’assurer les collectivités avec des avantages fiscaux aux
assureurs qui maintiendrai la concurrence au bénéfice de nos concitoyens
30",8.0
99,,3.0
100,"En cas de marché infructueux ou présentant un montant exorbitant, il est nécessaire de
pouvoir recourir à une police assurantielle validée nationalement. La Ville de Guéret a mis
plus de 6 mois pour retrouver une assurance, tout en étant accompagnée par un cabinet et à
l’aide d’un courtier. Le coût a triplé avec des garanties moindres ou plus restrictives car les
clauses des contrats sont in fine imposées, loin de toute démarche contractuelle négociée et
répondant aux besoins de la collectivité. Il serait utile de labeliser, par exemple la SMACL,
en assurance des collectivités. Aussi, il serait intéressant que l’Etat opère un appel d’offres
assurantiel national, par exemple quadriennal, et que les collectivités puissent adhérer à la
société retenue. A ce jour, la solution du groupement de commande ne nous paraît pas
pertinente puisque les contrats doivent respecter les singularités de chaque collectivité.",9.0
101,,8.0
102,"L INFORMATION
31",4.0
103,"réaliser des groupements de commandes
32",
104,???,9.0
105,"Assurance proposée par l’état qui couvre l’ensemble des risques auquels les collectivités
peuvent être confrontées en particulier les excès climatiques.",8.0
106,,9.0
107,,10.0
108,Une meilleure information sur les contrats proposés,9.0
109,"Revoir le code de la commande publique en matière d’assurance Interdire les résiliations
unilatérales et avenants en raison des offres trop basses au marché initial Mieux accompagner
lacollectivitédanslagestiondeleursinistralitéRevoirlesystèmeassurantieldescatastrophes
naturelles",8.0
110,"Une assurance qui prendrait en compte la probabilité des risques, les sinistres pour un coût
adapté",7.0
111,"Il faudrait plus d’acteurs sur le marché de l’assurance des collectivités, plus de solidarité
financière entre les compagnies françaises sur cette branche d’assurance.
34",7.0
112,"Imposer un motif légitime pour la résiliation anticipée des contrats d’assurance, assimiler
les augmentations de primes à des avenants/modifications de marché et les limiter, exclure
des états de sinistralité des collectivités les dossiers dans lesquels la collectivité n’est pas
responsable.",8.0
113,,4.0
114,"Aujourd’hui, notre collectivité subit des hausses de cotisation bien supérieures aux clauses
contractuelles de révision de prix. ces augmentations ne sont pas justifiées par une évolu-
tion du risque et/ou des biens de la Commune mais par des intempéries et catastrophes
naturelles sur l’ensemble du territoire national. Les compagnies d’assurance arguent de cir-
constances imprévues mais c’est le principe même de l’assurance! Nous n’avons pas le choix
que d’accepter ces augmentations par crainte de se voir résilier nos contrats ou de ne pas
avoir de réponses au renouvellement des contrats (renouvellement en décembre 2022, 1 offre
sur le lot DAB/RC)",5.0
115,"possibilité de négocier de gré à gré hors procédure marché public, création d’une obligation (
al’instardesparticulier)pourlaflotteautoetlaRC,puisqueréglementairementlacommune
peut être auto-assurée en dommages aux biens.",1.0
116,"déjà avoir des relations avec son assureur et pas seulement au moment de la renégociation
des contrats.",
