,siren,codgeo,drop_year,drop_pct,drop_pct_str,primes_2016,primes_2017,primes_2018,primes_2019,primes_2020,primes_2021,primes_2022,primes_2023,libgeo,dep,geometry,annee,depenses_fonct,pop,primes_to_depense_ratio
0,217704071,77407,2023.0,0.9981890949048382,99.8%,24094.98,32200.23,29416.28,33276.75,57761.72,66102.02,67367.15,120.85,Saint-Fargeau-Ponthierry,77,"POLYGON ((2.5488064615081405 48.53743151713429, 2.5487288293978057 48.5351127112731, 2.558506899087649 48.53276650456093, 2.55696962636013 48.5299270406508, 2.5517068807896264 48.52919887462961, 2.5467431065991937 48.52776317621931, 2.5473629644007865 48.52377251251971, 2.543009286798887 48.51956960339936, 2.5376627121599404 48.517423592976385, 2.527928300343073 48.51513118068725, 2.5258769937537866 48.51544503656031, 2.517910409490721 48.51193515149811, 2.5133279793067893 48.51172326072359, 2.5133494852050893 48.50940478397726, 2.508482543225488 48.508354278476546, 2.5071644439788034 48.51369439991553, 2.502160577638982 48.516764955449375, 2.4975703875524355 48.51732527890755, 2.49924138740389 48.526220093604636, 2.502788950391759 48.532804158175765, 2.507814518291008 48.53797733595366, 2.510889784699783 48.54307786714219, 2.4994724609221994 48.542901552591104, 2.5031450332814247 48.54671672365829, 2.506028777472305 48.551430129288015, 2.512323710168048 48.55680150186778, 2.5157035249176305 48.560808240020016, 2.5197879549722617 48.562563649993194, 2.5208301013025856 48.56604554801359, 2.5190359851304525 48.570031206868215, 2.5246894571416147 48.57114875046443, 2.530451206392934 48.57110722665676, 2.5313075648679604 48.5736222538713, 2.5390265781620998 48.57313719890432, 2.5455898450189434 48.570779598564194, 2.547952802931035 48.56853455190196, 2.548080989610217 48.56499295558548, 2.5462431974125543 48.562989508529064, 2.5392488053879343 48.558969709217905, 2.5316853197472833 48.553208381350224, 2.530141396819773 48.55120581922925, 2.5296042787056834 48.545793881868846, 2.531975418077415 48.54258309918191, 2.5348256364119184 48.54034018183232, 2.5488064615081405 48.53743151713429))",2022,20177485.16,14246.0,0.0033387287595953307
1,214400368,44036,2023.0,0.991723640362046,99.2%,27519.49,28886.4,21447.23,26552.78,25530.04,26937.07,28394.02,228.97,Châteaubriant,44,"POLYGON ((-1.4000389675659783 47.693587685982656, -1.3996977039081835 47.695278535494666, -1.401695016484497 47.698494764524575, -1.4089247389170596 47.703320735569676, -1.4083758039720797 47.70831090062132, -1.4144772747316814 47.70879050934662, -1.4242982860121953 47.70887089589254, -1.4383140983742282 47.71079195408515, -1.4496450813239081 47.71281361702135, -1.4476439261872747 47.71650402031855, -1.4470178547001522 47.72052930383436, -1.4478271389263835 47.72675885084926, -1.4473597918061636 47.72922912747704, -1.4416609713321762 47.72899399855559, -1.435709610299196 47.72457314723258, -1.433817502295029 47.724967619936535, -1.4284037210227378 47.73046498289054, -1.427701088017922 47.733589434819876, -1.4288271094896694 47.736709164678025, -1.4255434956701147 47.73889870536359, -1.4213102920635396 47.74009144330899, -1.4135523583486518 47.740578116450315, -1.4066741256071735 47.74006306741852, -1.3956466216757664 47.744092145577035, -1.3824738442060285 47.747813302921834, -1.3798926858046254 47.74803906304603, -1.3712014014047638 47.74655722625901, -1.3654895431215313 47.74735138116841, -1.3576890195057445 47.74615798101195, -1.348727804782466 47.74371655136366, -1.3414537882139712 47.735984570144524, -1.337696170650397 47.73121942178434, -1.3325960419666096 47.73005330341079, -1.3341956550958554 47.72605742839128, -1.340587134309031 47.721819154258334, -1.34033308826681 47.7163431260662, -1.338153750927679 47.7120356555898, -1.335137664761907 47.70808186365119, -1.340935692223511 47.7036718537845, -1.3464829225319082 47.703272054926614, -1.3550535677792972 47.70572800886387, -1.3663164465828177 47.70111286501685, -1.3762258590654404 47.702291058529546, -1.3779377354892035 47.69970998682186, -1.3826493905967425 47.69617741275142, -1.3898107232229628 47.69319798134969, -1.3940724167580703 47.69355408360178, -1.3959052871995858 47.69245252394915, -1.4000389675659783 47.693587685982656))",2022,13538372.5,12528.0,0.002097299361500062
2,211300678,13067,2020.0,0.9897325068232782,99.0%,5842.05,30409.96,46039.23,64241.34,1132.28,782.33,175.0,175.0,Orgon,13,"POLYGON ((4.997669068388671 43.74890102707882, 4.9975644559077415 43.751029574290406, 4.995234136465516 43.75603443243355, 4.989027434944138 43.76536338418822, 4.987064693767753 43.77068359719482, 4.981559484891797 43.77967714168911, 4.975914587456419 43.78467741122142, 4.968076487212292 43.79100590306451, 4.990011009772231 43.79621428697248, 5.002965520793122 43.80055260593877, 5.011990318206153 43.80257754371912, 5.025238699139439 43.81006573299147, 5.02892544831049 43.81553957901071, 5.035442783588738 43.81999382355958, 5.041218775111389 43.8111855141881, 5.042930124446891 43.80644885247056, 5.043518532544593 43.79535305378714, 5.044834877231474 43.79210606068097, 5.049814236669085 43.788661323985764, 5.07151509729054 43.77980850935628, 5.077611814627141 43.777630150362924, 5.090745245911573 43.77209432499474, 5.080506043258241 43.76861693034563, 5.067171943198578 43.76365069228635, 5.059862823263126 43.76443360641556, 5.0579266280290875 43.767821353923914, 5.048983577353472 43.765476573752494, 5.049884145252309 43.76313961164474, 5.0412171027340245 43.75846902095429, 5.035086843300633 43.75465262840156, 5.029731984467831 43.75249701130652, 5.022957920485144 43.75320304405207, 5.018101444407257 43.749942066166284, 5.003875794089472 43.74988253398117, 4.997669068388671 43.74890102707882))",2019,3987807.78,3072.0,0.016109437451370837
3,212003032,2B303,2023.0,0.9880116035987109,98.8%,10361.4,10480.65,10813.8,13954.38,13822.89,15025.36,17823.07,196.9,San-Giuliano,2B,"POLYGON ((9.555299123940797 42.2524869393048, 9.552226451203728 42.24925507027725, 9.547225474103485 42.24988677778894, 9.543938947766463 42.250993505101235, 9.541381195825865 42.25392744353711, 9.530636564241561 42.26343450093294, 9.525535878687407 42.26710561051261, 9.515164826988633 42.270583801317116, 9.51727256739355 42.2745862156025, 9.515882447110904 42.279384565835265, 9.513826702286332 42.2837072848456, 9.51248729217452 42.288179685743906, 9.506767822446772 42.29182320355044, 9.502862677362689 42.29290188880134, 9.498266363294903 42.295636777379926, 9.498331915470251 42.29937731658844, 9.498591258113922 42.30013617333934, 9.495525979682245 42.30484312766645, 9.489078340147087 42.309046644801406, 9.489925238608581 42.31667771390758, 9.498035481420791 42.31876407856842, 9.506069127996517 42.3193696025151, 9.51387310408403 42.318697346952504, 9.521671978018023 42.31641071718833, 9.52939248939444 42.312643321768086, 9.532910632155465 42.30887580259515, 9.536365659162689 42.30298141996173, 9.539961647550482 42.29991905456127, 9.553621910043969 42.29920547027072, 9.555358382078717 42.292835411402024, 9.559296871542324 42.28503794157742, 9.559929742971338 42.281318639457766, 9.55928455929083 42.27322346673895, 9.557227520539886 42.265796734121224, 9.55593114686441 42.258129345475055, 9.555299123940797 42.2524869393048))",2022,778459.57,761.0,0.022895305918070992
4,219104692,91469,2023.0,0.9857685077739762,98.6%,15316.72,15737.93,15708.41,17926.18,15226.61,17200.27,18942.11,257.18,Ormoy-la-Rivière,91,"POLYGON ((2.203253651462942 48.39546434493746, 2.1996183288248807 48.39131746057387, 2.1901186814749725 48.38886967571613, 2.1830997127376657 48.38965888427091, 2.1757013971133135 48.38980091273882, 2.167921966553765 48.38942450195005, 2.162465661569551 48.389836971000335, 2.1581604623527078 48.39128797653271, 2.1487193973137275 48.39134938738706, 2.145881741222735 48.3922951732561, 2.1440913596163576 48.394665541127026, 2.1410545991983585 48.395867425046156, 2.136577999602342 48.395834910007444, 2.127380962005402 48.39286899008045, 2.129138158002684 48.39842142784754, 2.13214403522359 48.40501355908643, 2.136457433214234 48.40910302669205, 2.150588205417581 48.41422921287566, 2.1530851032955414 48.416372658064596, 2.158155848336447 48.41589346130246, 2.1648066776613035 48.41400812629725, 2.1715685878028395 48.411221429205405, 2.177045189571472 48.409649260235305, 2.1917873376492403 48.400604137428324, 2.203253651462942 48.39546434493746))",2022,550750.34,960.0,0.03439327881304622
5,214401051,44105,2023.0,0.9845627356296629,98.5%,6675.37,7494.41,7421.3,7140.69,6720.47,6922.47,6300.08,102.06,Mouais,44,"POLYGON ((-1.6442772375123609 47.72215251738433, -1.638126720522984 47.722267640686844, -1.6375399486961977 47.72216182576777, -1.637042661071206 47.704301526953564, -1.6392860774445426 47.69691839358343, -1.635755941043418 47.696154831761994, -1.631784619791856 47.68921192555664, -1.6328518251330413 47.68710401971664, -1.6412866801556762 47.688963862368205, -1.6559185680311637 47.69567576821467, -1.6638030317365775 47.69561947646563, -1.667660640666713 47.69682097938851, -1.6813221366380464 47.703375005725924, -1.6869173167780762 47.70244062692106, -1.6892565671691877 47.698409104642856, -1.695183549793995 47.696880012929356, -1.7035837902820072 47.70047981103979, -1.704643708803515 47.70811887315126, -1.7073165383226885 47.7144019069289, -1.703677719503814 47.714612975014525, -1.6846809327648797 47.71201936537596, -1.6795470511396464 47.71164410101958, -1.6699847231259466 47.71234937694946, -1.6582448082548995 47.71126873404906, -1.6503895023788615 47.71829473586118, -1.6442772375123609 47.72215251738433))",2022,345039.75,379.0,0.01825899769519309
6,215906546,59654,2023.0,0.9803987750150329,98.0%,19881.76,27236.3,21845.18,22910.71,22333.06,23336.85,42169.26,642.0,Waziers,59,"POLYGON ((3.0988436729851325 50.369201856637424, 3.099161045281486 50.37633590359092, 3.097553303564731 50.38173606787847, 3.0983688622905206 50.38501329479161, 3.1081971050487667 50.39265339084191, 3.110733928949679 50.39612178002726, 3.114583115587495 50.39811066503827, 3.121465320992707 50.39893960894208, 3.128746580821738 50.397454008086704, 3.1294488927431647 50.39513952123294, 3.123569508468171 50.390518014938536, 3.125689473964102 50.38871627358803, 3.1267980421580823 50.38704407716637, 3.125676513612272 50.38351026913726, 3.121930080462677 50.38190722182646, 3.1127087844174963 50.37433182461926, 3.1092602935896796 50.369707263755345, 3.0988436729851325 50.369201856637424))",2022,10587626.06,7471.0,0.003982881503467077
7,214202657,42265,2023.0,0.9785094893224688,97.9%,9222.54,3502.54,5901.04,8706.92,6900.94,6953.96,14456.42,230.06,Saint-Michel-sur-Rhône,42,"POLYGON ((4.755815816635243 45.4472062122442, 4.759960752431858 45.438371688916966, 4.74272992746733 45.43851181866575, 4.72818253759278 45.43602872215383, 4.716662293219661 45.4330460898401, 4.7103401509373315 45.43423887607592, 4.707704431742734 45.4354397048595, 4.709535942198458 45.43805552368756, 4.717593864137882 45.442317124361516, 4.715109719380437 45.445450241870184, 4.715060703007849 45.44983571977117, 4.7197276114258955 45.451698706918386, 4.7254665790638715 45.45244883385104, 4.7292305054056545 45.45193950165547, 4.73099731502805 45.45242810359455, 4.746161761036934 45.453869595266966, 4.7512034570260955 45.45295273451364, 4.751503694741616 45.447853970578, 4.755815816635243 45.4472062122442))",2022,437872.0,881.0,0.03301517338400263
8,215702457,57245,2023.0,0.9779996609355353,97.8%,5919.11,5521.41,5039.05,5330.43,5327.14,5555.85,11432.07,186.87,Gavisse,57,"POLYGON ((6.300905893871005 49.44315125746846, 6.301522026175893 49.44191078861331, 6.298190951617669 49.43800860479721, 6.298419139440103 49.43381614718925, 6.302151898354618 49.43004330706535, 6.299713640234787 49.42920816855871, 6.295122979991319 49.42579105012143, 6.293966598235281 49.4232463673675, 6.280140780933652 49.421432285673866, 6.276408005463864 49.42365876662064, 6.275418305627873 49.42684134356639, 6.268588437302109 49.43037501435766, 6.268831734979026 49.431076874981144, 6.272416859692097 49.434328924601076, 6.28566498997235 49.44105426752626, 6.288392392077463 49.44329869405532, 6.287010273851761 49.44655637114107, 6.28724914527161 49.448739567579494, 6.289617096478063 49.45157334225794, 6.291349277753474 49.45223468148199, 6.289779132746885 49.44944366115615, 6.295903177452504 49.44573491123261, 6.300905893871005 49.44315125746846))",2022,369703.36,579.0,0.030922277795906426
9,216006189,60627,2023.0,0.977335643432401,97.7%,2823.64,2967.53,3344.35,5799.55,3524.71,4107.87,9022.88,148.8,Tartigny,60,"POLYGON ((2.390525311336215 49.63619112197786, 2.3788278591935827 49.63085642716381, 2.368292215000953 49.62848605278515, 2.367531446795135 49.625522649069545, 2.3643784698463133 49.62261107948625, 2.3565209748921827 49.621411681231606, 2.3568562003067126 49.61851831708482, 2.354652837502882 49.61940734806432, 2.353348602873062 49.62010811657515, 2.341972837439412 49.629118458056546, 2.340080985094641 49.628979530620015, 2.3365786148036873 49.637774438025374, 2.3516471044660543 49.644353550393134, 2.357410470952084 49.64586383836688, 2.361901373083103 49.64550148023601, 2.3606639556995597 49.64079854950072, 2.3619678161521183 49.640162049826934, 2.367618638531744 49.64270062669719, 2.377646230377153 49.646097756714106, 2.377034792655128 49.64718830908826, 2.384235157367657 49.64535928801675, 2.389046357464891 49.64319618618588, 2.396200590933465 49.636734119492644, 2.3941234052297715 49.63537275113407, 2.390525311336215 49.63619112197786))",2022,173691.28,262.0,0.05194780071860832
