code_commune_insee,nb_maisons_total,1945-1975_moyen,pre1945_faible,1945-1975_faible,pre1945_nul,post2020_faible,1976-2020_nul,post2020_moyen,pre1945_fort,1976-2020_faible,1976-2020_moyen,1976-2020_fort,1945-1975_fort,pre1945_moyen,1945-1975_nul,post2020_nul,unk_fort,post2020_fort,unk_faible,unk_moyen,unk_nul,nb_maisons_exposition_rga,pct_exposition_rga
01001,358,0,123,21,0,19,0,1,0,184,2,0,0,7,0,1,0,0,0,0,0,357,0.9972067039106145
01002,168,12,5,1,0,0,3,1,0,2,25,0,0,118,0,1,0,0,0,0,0,164,0.9761904761904762
01004,3254,165,392,337,6,30,11,36,0,930,869,0,0,458,1,13,0,0,2,4,0,3223,0.9904732636754764
01005,616,0,121,82,2,70,2,0,0,328,0,0,0,0,0,11,0,0,0,0,0,601,0.9756493506493507
01006,62,0,44,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,62,1.0
01007,1116,89,107,51,0,14,2,21,0,209,425,0,0,191,0,5,0,0,1,1,0,1109,0.9937275985663082
01008,311,2,75,33,3,4,2,1,0,168,9,0,0,13,0,0,0,0,1,0,0,306,0.9839228295819936
01009,180,1,79,15,0,4,0,0,0,75,3,0,0,0,0,2,0,0,1,0,0,178,0.9888888888888889
01010,511,0,196,47,2,11,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,509,0.9960861056751468
01011,156,13,0,0,0,0,0,7,0,0,89,0,0,45,1,1,0,0,0,0,0,154,0.9871794871794872
01012,196,7,68,7,1,1,0,2,0,45,14,0,0,50,0,1,0,0,0,0,0,194,0.9897959183673469
01013,111,4,0,0,0,0,1,0,0,0,20,0,0,85,0,1,0,0,0,0,0,109,0.9819819819819819
01014,941,0,111,99,11,44,219,0,0,439,0,0,0,2,9,6,0,0,1,0,0,696,0.7396386822529224
01015,391,4,181,18,0,11,1,4,0,91,32,0,0,48,0,1,0,0,0,0,0,389,0.9948849104859335
01016,216,14,0,2,5,0,1,8,0,0,68,0,0,116,0,1,0,0,0,1,0,209,0.9675925925925926
01017,258,9,117,8,1,3,0,1,0,27,16,0,0,76,0,0,0,0,0,0,0,257,0.9961240310077519
01019,27,0,22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,27,1.0
01021,472,0,95,12,1,14,1,0,0,345,0,0,0,0,0,4,0,0,0,0,0,466,0.9872881355932204
01022,484,0,195,61,2,5,1,0,0,212,0,0,0,1,0,6,0,0,1,0,0,475,0.981404958677686
01023,46,0,34,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,0.9782608695652174
01024,1169,101,40,10,1,5,0,38,0,103,656,0,0,205,2,6,0,0,0,1,1,1159,0.9914456800684346
01025,1599,109,0,0,1,0,1,36,0,0,963,0,0,475,0,13,0,0,0,1,0,1584,0.9906191369606003
01026,308,45,0,0,0,0,0,8,0,0,183,0,0,71,0,1,0,0,0,0,0,307,0.9967532467532467
01027,564,0,91,100,2,23,0,0,0,345,0,0,0,0,0,3,0,0,0,0,0,559,0.9911347517730497
01028,255,2,85,11,3,5,2,0,0,117,9,0,0,21,0,0,0,0,0,0,0,250,0.9803921568627451
01029,299,28,2,0,0,0,0,11,0,0,99,0,0,157,0,2,0,0,0,0,0,297,0.9933110367892977
01030,213,0,62,28,1,7,1,0,0,114,0,0,0,0,0,0,0,0,0,0,0,211,0.9906103286384976
01031,561,0,42,109,0,15,2,0,0,390,0,0,0,0,0,0,0,0,3,0,0,559,0.9964349376114082
