code_commune_insee,agri_nul,resid_nul,autres_nul,rervice_nul,autres_faible,agri_faible,indus_nul,autres_fort,resid_moyen,rervice_fort,indus_moyen,rervice_moyen,autres_moyen,rervice_faible,resid_fort,agri_fort,resid_faible,agri_moyen,indus_faible,indus_fort,nb_bats_total,nb_bats_exposition_tri,pct_exposition_tri
32318,19,42,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0.0
32319,12,811,1352,130,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,0.0
32320,9,81,250,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0.0
32321,16,114,322,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0.0
32322,18,89,237,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0.0
32323,62,44,161,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0.0
32324,23,47,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0.0
32325,66,71,139,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0.0
32326,68,74,225,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0.0
32327,14,30,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0.0
32328,21,62,191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0.0
32329,6,76,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0.0
32330,11,100,211,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0.0
32331,19,473,941,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0.0
32332,11,51,213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0.0
32333,62,90,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0.0
32334,12,666,1414,19,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0.0
32335,30,218,533,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0.0
32336,58,95,274,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0.0
32337,2,33,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0.0
32338,85,85,276,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0.0
32339,7,90,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0.0
32340,54,158,363,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0.0
32341,10,98,268,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0.0
32342,46,35,126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0.0
32343,33,80,263,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0.0
32344,98,879,1532,120,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2691,0,0.0
32345,51,308,763,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0.0
32346,62,96,276,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0.0
32347,5,113,245,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0.0
32348,17,260,695,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,0.0
32349,17,41,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0.0
32350,3,32,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0.0
32351,33,69,159,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0.0
32352,28,53,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0.0
32353,36,59,229,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0.0
32354,51,72,152,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0.0
32355,77,30,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0.0
32356,12,45,134,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0.0
32357,11,36,119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0.0
32358,7,91,202,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0.0
32359,13,84,221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0.0
32360,40,78,230,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0.0
32361,70,52,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0.0
32362,46,69,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0.0
32363,38,54,219,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0.0
32364,6,42,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0.0
32365,41,223,842,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,0,0.0
32366,20,43,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0.0
32367,40,37,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0.0
32368,29,242,543,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0.0
32369,85,183,508,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0.0
32370,31,546,1124,127,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,0,0.0
32371,4,59,227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0.0
32372,0,129,201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0.0
32373,97,94,318,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0.0
32374,39,78,208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0.0
32375,48,45,176,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0.0
32376,17,60,206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0.0
32377,28,90,260,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0.0
32378,27,199,363,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0.0
32379,29,87,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0.0
32380,35,57,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0.0
32381,59,150,436,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,0,0.0
32382,7,157,379,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0.0
32383,26,81,267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0.0
32384,4,120,253,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0.0
32385,26,87,316,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0.0
32386,28,66,211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0.0
32387,10,47,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0.0
32388,42,168,371,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0.0
32389,59,201,575,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0.0
32390,56,94,281,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0.0
32391,7,63,202,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0.0
